Stock Price,Analytic,BT,MC,FD
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,,
1,46.959312990813835,46.95931299081382,46.95614701944165,47.40515762843576
2,45.959312990813835,45.95931299081383,45.951944074016055,44.810315256871526
3,44.959312990813835,44.95931299081382,44.965764722768654,44.36294781756489
4,43.959312990813835,43.959312990813814,43.96461317235123,43.91558037825824
5,42.959312990813835,42.95931299081383,42.97715785104718,42.93764283990497
6,41.959312990813835,41.959312990813814,41.96213768054718,41.959705301551686
7,40.959312990813864,40.95931299081383,40.95675484950212,40.96137129243094
8,39.959312990815235,39.959312990813835,39.95162722417745,39.96303728331019
9,38.95931299084995,38.95931299081383,38.94714958462027,38.96322031485353
10,37.959312991370425,37.95931299081383,37.9816940108671,37.96340334639687
11,36.95931299657494,36.95931299081383,36.99337134247337,36.96343490920061
12,35.95931303426012,35.959312990813835,36.00331423692585,35.96346647200434
13,34.95931324427833,34.959312990813835,34.960006122716386,34.96349906894247
14,33.95931418776847,33.959312990813835,33.9572466187008,33.963531665880595
15,32.95931772912984,32.95931299081383,32.957038662958595,32.96364557178221
16,31.959329152801956,31.95931299081383,31.986341175446313,31.96375947768382
17,30.95936154443337,30.959312990813835,30.979374386437506,30.96413591130723
18,29.95944376418433,29.959312990813828,29.951216848470978,29.964512344930647
19,28.959633402272548,28.959312990813835,28.955995319322724,28.965582036613924
20,27.960035795901305,27.959312990813835,27.9863474341177,27.966651728297197
21,26.96082946192885,26.959312990813835,26.885393677533568,26.969314492751913
22,25.96229724992172,25.95931299081383,26.083634682738595,25.971977257206632
23,24.96486134514167,24.96143021076731,25.008178393530326,24.977896952582235
24,23.969119201795518,23.96377784423679,23.867210363694277,23.983816647957838
25,22.97587679354533,22.96612547770628,22.94577423160937,22.995754896740713
26,21.9861753799523,21.968473111175765,22.0370489449945,22.007693145523586
27,21.001308342779772,20.989996997940715,21.139252251930714,21.02980994209947
28,20.022825476230448,20.011878080889197,19.942370667320674,20.051926738675352
29,19.052523272683757,19.033759163837694,19.035345623415154,19.089955148506277
30,18.092421044400577,18.055640246786183,18.07224388596927,18.127983558337203
31,17.144723977791976,17.104300950886568,17.131692662099834,17.189190598451045
32,16.21177527874389,16.19931953339741,16.201294733577484,16.250397638564888
33,15.296000334240908,15.29433811590826,15.282466963817217,15.343278206600456
34,14.399846241609353,14.389356698419103,14.435739658233913,14.436158774636024
35,13.525720146553233,13.484375280929951,13.471728095162911,13.56986744744082
36,12.675929627505756,12.579393863440798,12.568466867858433,12.70357612024562
37,11.852627933402033,11.825623982792505,11.799771432043842,11.887166695673233
38,11.057766301789329,11.08291976019396,11.021616882117018,11.070757271100847
39,10.293054930092449,10.340215537595412,10.215549919479496,10.312352056122311
40,9.55993351147832,9.597511314996865,9.56054495208165,9.553946841143777
41,8.859551630798247,8.854807092398318,8.779076017531226,8.859980138630466
42,8.192758782470694,8.11210286979977,8.154376293859913,8.166013436117153
43,7.560103342566226,7.495442696407805,7.620659121095453,7.540679107201939
44,6.9618395100983115,6.989027847814551,7.041612503905914,6.915344778286726
45,6.3979410253423445,6.482612999221295,6.442127424372693,6.360330886759344
46,5.868120366016218,5.97619815062804,5.876803169113591,5.805316995231962
47,5.371852100688393,5.469783302034785,5.298587130965821,5.319846313210175
48,4.908399125811158,4.963368453441529,4.853000050239394,4.834375631188388
49,4.476840610863963,4.456953604848274,4.592265949144389,4.415508712279388
50,4.076100608769622,3.950538756255017,4.087209214107632,3.996641793370388
51,3.7049764414378856,3.6800489756702057,3.802637586464421,3.6397563543217966
52,3.3621661308036117,3.4095591950853947,3.2996045585758638,3.282870915273205
53,3.046294304419046,3.139069414500582,3.128265388361584,2.982216079587715
54,2.7559361543746483,2.86857963391577,2.8539446113887563,2.6815612439022245
55,2.489639164161934,2.5980898533309595,2.510678498686412,2.4307961625690337
56,2.245942437100261,2.327600072746147,2.222738121976231,2.1800310812358434
57,2.023393560764534,2.057110292161335,2.008058337502361,1.9726849816138219
